file_path,model,finish_reason,completion_tokens,prompt_tokens,total_tokens,input_cost,output_cost,total_cost,model_key
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/scenario_output/parse/scenario_2.json,o4-mini,stop,1648,13429,15077,0.014771900000000001,0.0072512,0.0220231,o4-mini
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/scenario_output/parse/parse_1.json,,,0,0,0,0.0,0.0,0.0,unknown
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/scenario_output/parse/parse_0.json,,,0,0,0,0.0,0.0,0.0,unknown
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/scenario_output/parse/parse_2.json,,,0,0,0,0.0,0.0,0.0,unknown
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/scenario_output/parse/scenario_0.json,o4-mini,stop,3101,9470,12571,0.010417000000000001,0.013644400000000001,0.024061400000000004,o4-mini
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/scenario_output/parse/scenario_1.json,o4-mini,stop,1843,11394,13237,0.0125334,0.0081092,0.0206426,o4-mini
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/test_output/parse/guide_0.json,gpt-4o-mini,stop,794,11722,12516,0.0017583,0.0004764,0.0022347,gpt-4o-mini
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/test_output/parse/test_1.json,o4-mini,stop,2132,9002,11134,0.0099022,0.0093808,0.019283,o4-mini
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/test_output/parse/test_0.json,o4-mini,stop,3666,9577,13243,0.010534700000000001,0.0161304,0.0266651,o4-mini
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/test_output/parse/guide_1.json,gpt-4o-mini,stop,1066,8859,9925,0.00132885,0.0006395999999999999,0.00196845,gpt-4o-mini
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/test_output/parse/fix_2_1.json,gpt-4o-mini,stop,2080,8899,10979,0.0013348499999999998,0.001248,0.00258285,gpt-4o-mini
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/test_output/parse/test_2.json,o4-mini,stop,971,8022,8993,0.0088242,0.0042724,0.0130966,o4-mini
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/test_output/parse/fix_2_2.json,gpt-4o-mini,stop,739,3601,4340,0.00054015,0.0004434,0.00098355,gpt-4o-mini
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/test_output/parse/guide_2.json,gpt-4o-mini,stop,476,4151,4627,0.00062265,0.0002856,0.00090825,gpt-4o-mini
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/test_output/parse/fix_1_0.json,gpt-4o-mini,stop,3327,11991,15318,0.00179865,0.0019962,0.00379485,gpt-4o-mini
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/test_output/parse/fix_1_1.json,gpt-4o-mini,stop,1987,8813,10800,0.00132195,0.0011922,0.0025141499999999997,gpt-4o-mini
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/test_output/parse/fix_2_0.json,gpt-4o-mini,stop,3337,11490,14827,0.0017235,0.0020022,0.0037257,gpt-4o-mini
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/test_output/parse/fix_1_2.json,gpt-4o-mini,stop,739,3891,4630,0.00058365,0.0004434,0.00102705,gpt-4o-mini
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/scenario_output/parse/scenario_2.json,o4-mini,stop,1563,12510,14073,0.013761,0.0068772,0.020638200000000002,o4-mini
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/scenario_output/parse/parse_1.json,,,0,0,0,0.0,0.0,0.0,unknown
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/scenario_output/parse/parse_0.json,,,0,0,0,0.0,0.0,0.0,unknown
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/scenario_output/parse/parse_2.json,,,0,0,0,0.0,0.0,0.0,unknown
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/scenario_output/parse/scenario_0.json,o4-mini,stop,3230,9470,12700,0.010417000000000001,0.014212,0.024629,o4-mini
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/scenario_output/parse/scenario_1.json,o4-mini,stop,1955,10548,12503,0.0116028,0.008602,0.020204800000000002,o4-mini
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/test_output/parse/guide_0.json,gpt-4o-mini,stop,313,5806,6119,0.0008709,0.00018779999999999998,0.0010586999999999999,gpt-4o-mini
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/test_output/parse/test_1.json,o4-mini,stop,2310,8736,11046,0.009609600000000001,0.010164000000000001,0.019773600000000002,o4-mini
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/test_output/parse/test_0.json,o4-mini,stop,2320,10403,12723,0.0114433,0.010208,0.0216513,o4-mini
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/test_output/parse/guide_1.json,gpt-4o-mini,stop,221,5082,5303,0.0007622999999999999,0.0001326,0.0008948999999999999,gpt-4o-mini
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/test_output/parse/fix_2_1.json,gpt-4o-mini,stop,2104,4277,6381,0.00064155,0.0012624,0.0019039499999999997,gpt-4o-mini
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/test_output/parse/test_2.json,o4-mini,stop,2012,8256,10268,0.0090816,0.008852800000000001,0.017934400000000003,o4-mini
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/test_output/parse/fix_2_2.json,gpt-4o-mini,stop,1394,3440,4834,0.000516,0.0008364,0.0013524,gpt-4o-mini
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/test_output/parse/guide_2.json,gpt-4o-mini,stop,136,4330,4466,0.0006495,8.159999999999999e-05,0.0007311,gpt-4o-mini
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/test_output/parse/fix_1_0.json,gpt-4o-mini,stop,2466,5121,7587,0.00076815,0.0014796,0.0022477499999999997,gpt-4o-mini
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/test_output/parse/fix_1_1.json,gpt-4o-mini,stop,2105,4572,6677,0.0006858,0.001263,0.0019488,gpt-4o-mini
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/test_output/parse/fix_2_0.json,gpt-4o-mini,stop,2466,5093,7559,0.00076395,0.0014796,0.00224355,gpt-4o-mini
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/test_output/parse/fix_1_2.json,gpt-4o-mini,stop,1374,3914,5288,0.0005871,0.0008244,0.0014115,gpt-4o-mini
./epubcheck/1605b/MANTIS-tests-02/epubcheck/CssParser/scenario_output/parse/scenario_2.json,o4-mini,stop,1732,11870,13602,0.013057000000000001,0.0076208000000000005,0.020677800000000003,o4-mini
./epubcheck/1605b/MANTIS-tests-02/epubcheck/CssParser/scenario_output/parse/parse_1.json,,,0,0,0,0.0,0.0,0.0,unknown
./epubcheck/1605b/MANTIS-tests-02/epubcheck/CssParser/scenario_output/parse/parse_0.json,,,0,0,0,0.0,0.0,0.0,unknown
./epubcheck/1605b/MANTIS-tests-02/epubcheck/CssParser/scenario_output/parse/parse_2.json,,,0,0,0,0.0,0.0,0.0,unknown
./epubcheck/1605b/MANTIS-tests-02/epubcheck/CssParser/scenario_output/parse/scenario_0.json,o4-mini,stop,1713,9470,11183,0.010417000000000001,0.0075372,0.0179542,o4-mini
./epubcheck/1605b/MANTIS-tests-02/epubcheck/CssParser/scenario_output/parse/scenario_1.json,o4-mini,stop,1427,10391,11818,0.0114301,0.0062788,0.0177089,o4-mini
./epubcheck/1605b/MANTIS-tests-02/epubcheck/CssParser/test_output/parse/guide_0.json,gpt-4o-mini,stop,797,6299,7096,0.00094485,0.00047819999999999997,0.00142305,gpt-4o-mini
./epubcheck/1605b/MANTIS-tests-02/epubcheck/CssParser/test_output/parse/test_1.json,o4-mini,stop,1615,8524,10139,0.0093764,0.007106,0.0164824,o4-mini
./epubcheck/1605b/MANTIS-tests-02/epubcheck/CssParser/test_output/parse/test_0.json,o4-mini,stop,2352,8734,11086,0.0096074,0.0103488,0.0199562,o4-mini
./epubcheck/1605b/MANTIS-tests-02/epubcheck/CssParser/test_output/parse/guide_1.json,gpt-4o-mini,stop,1289,5886,7175,0.0008828999999999999,0.0007733999999999999,0.0016562999999999999,gpt-4o-mini
./epubcheck/1605b/MANTIS-tests-02/epubcheck/CssParser/test_output/parse/fix_2_1.json,gpt-4o-mini,stop,1582,6149,7731,0.00092235,0.0009492,0.00187155,gpt-4o-mini
./epubcheck/1605b/MANTIS-tests-02/epubcheck/CssParser/test_output/parse/test_2.json,o4-mini,stop,2380,8567,10947,0.0094237,0.010472,0.019895700000000002,o4-mini
