file_path,model,finish_reason,completion_tokens,prompt_tokens,total_tokens,input_cost,output_cost,total_cost,model_key
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/scenario_2.json,o4-mini,stop,2432,4840,7272,0.005324000000000001,0.0107008,0.0160248,o4-mini
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/parseAndAddToColumn_1.json,,,0,0,0,0.0,0.0,0.0,unknown
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/parseAndAddToColumn_2.json,,,0,0,0,0.0,0.0,0.0,unknown
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/parseAndAddToColumn_0.json,,,0,0,0,0.0,0.0,0.0,unknown
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/scenario_0.json,o4-mini,stop,1860,3595,5455,0.0039545000000000005,0.008184,0.0121385,o4-mini
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/scenario_1.json,o4-mini,stop,1640,3683,5323,0.0040513,0.007216,0.011267300000000001,o4-mini
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/guide_0.json,gpt-4o-mini,stop,1655,4686,6341,0.0007029,0.000993,0.0016959,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/test_1.json,o4-mini,stop,1760,2779,4539,0.0030569,0.007744,0.0108009,o4-mini
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/test_0.json,o4-mini,stop,1679,3129,4808,0.0034419000000000003,0.0073876,0.0108295,o4-mini
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/guide_1.json,gpt-4o-mini,stop,477,4225,4702,0.00063375,0.00028619999999999996,0.0009199499999999999,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_2_1.json,gpt-4o-mini,stop,1180,3677,4857,0.0005515499999999999,0.000708,0.00125955,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/test_2.json,o4-mini,stop,2227,3066,5293,0.0033726000000000003,0.0097988,0.0131714,o4-mini
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_2_2.json,gpt-4o-mini,stop,1225,2589,3814,0.00038835,0.000735,0.00112335,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/guide_2.json,gpt-4o-mini,stop,219,3395,3614,0.0005092499999999999,0.0001314,0.00064065,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_1_0.json,gpt-4o-mini,stop,1335,4502,5837,0.0006753,0.000801,0.0014762999999999998,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_1_1.json,gpt-4o-mini,stop,1149,4067,5216,0.00061005,0.0006894,0.00129945,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_2_0.json,gpt-4o-mini,stop,1336,5316,6652,0.0007974,0.0008016,0.001599,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_1_2.json,gpt-4o-mini,stop,1237,2213,3450,0.00033194999999999996,0.0007421999999999999,0.0010741499999999998,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/scenario_2.json,o4-mini,stop,2126,4853,6979,0.005338300000000001,0.0093544,0.014692700000000001,o4-mini
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/parseAndAddToColumn_1.json,,,0,0,0,0.0,0.0,0.0,unknown
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/parseAndAddToColumn_2.json,,,0,0,0,0.0,0.0,0.0,unknown
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/parseAndAddToColumn_0.json,,,0,0,0,0.0,0.0,0.0,unknown
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/scenario_0.json,o4-mini,stop,2087,3595,5682,0.0039545000000000005,0.0091828,0.013137300000000001,o4-mini
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/scenario_1.json,o4-mini,stop,2108,3919,6027,0.0043109,0.0092752,0.0135861,o4-mini
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/guide_0.json,gpt-4o-mini,stop,900,5334,6234,0.0008001,0.00054,0.0013400999999999999,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/test_1.json,o4-mini,stop,1186,2464,3650,0.0027104,0.005218400000000001,0.0079288,o4-mini
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/test_0.json,o4-mini,stop,1824,3302,5126,0.0036322000000000004,0.0080256,0.011657800000000001,o4-mini
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/guide_1.json,gpt-4o-mini,stop,470,3439,3909,0.00051585,0.00028199999999999997,0.0007978499999999999,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_2_1.json,gpt-4o-mini,stop,946,2884,3830,0.0004326,0.0005676,0.0010002000000000001,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/test_2.json,o4-mini,stop,1617,2823,4440,0.0031053,0.0071148,0.0102201,o4-mini
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_2_2.json,gpt-4o-mini,stop,1066,5481,6547,0.00082215,0.0006395999999999999,0.00146175,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/guide_2.json,gpt-4o-mini,stop,619,5887,6506,0.0008830499999999999,0.0003714,0.0012544499999999998,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_1_0.json,gpt-4o-mini,stop,1563,6026,7589,0.0009038999999999999,0.0009377999999999999,0.0018417,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_1_1.json,gpt-4o-mini,stop,999,2774,3773,0.0004161,0.0005993999999999999,0.0010155,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_2_0.json,gpt-4o-mini,stop,1585,5209,6794,0.00078135,0.0009509999999999999,0.00173235,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_1_2.json,gpt-4o-mini,stop,1066,3852,4918,0.0005778,0.0006395999999999999,0.0012174,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-02/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/scenario_2.json,o4-mini,stop,1244,4484,5728,0.0049324,0.0054736,0.010406,o4-mini
./dataframe-ec/30b/MANTIS-tests-02/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/parseAndAddToColumn_1.json,,,0,0,0,0.0,0.0,0.0,unknown
./dataframe-ec/30b/MANTIS-tests-02/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/parseAndAddToColumn_2.json,,,0,0,0,0.0,0.0,0.0,unknown
./dataframe-ec/30b/MANTIS-tests-02/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/parseAndAddToColumn_0.json,,,0,0,0,0.0,0.0,0.0,unknown
./dataframe-ec/30b/MANTIS-tests-02/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/scenario_0.json,o4-mini,stop,1545,3595,5140,0.0039545000000000005,0.006798,0.010752500000000002,o4-mini
./dataframe-ec/30b/MANTIS-tests-02/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/scenario_1.json,o4-mini,stop,2960,3239,6199,0.0035629000000000004,0.013024,0.0165869,o4-mini
./dataframe-ec/30b/MANTIS-tests-02/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/guide_0.json,gpt-4o-mini,stop,220,2892,3112,0.0004338,0.00013199999999999998,0.0005658,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-02/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/test_1.json,o4-mini,stop,1315,3529,4844,0.0038819,0.005786,0.0096679,o4-mini
./dataframe-ec/30b/MANTIS-tests-02/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/test_0.json,o4-mini,stop,2079,2742,4821,0.0030162,0.0091476,0.0121638,o4-mini
./dataframe-ec/30b/MANTIS-tests-02/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/guide_1.json,gpt-4o-mini,stop,810,3825,4635,0.0005737499999999999,0.000486,0.00105975,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-02/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_2_1.json,gpt-4o-mini,stop,1298,3610,4908,0.0005415,0.0007788,0.0013203,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-02/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/test_2.json,o4-mini,stop,1455,2375,3830,0.0026125000000000002,0.006402000000000001,0.009014500000000002,o4-mini
./dataframe-ec/30b/MANTIS-tests-02/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_2_2.json,gpt-4o-mini,stop,832,2782,3614,0.0004173,0.0004992,0.0009165,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-02/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/guide_2.json,gpt-4o-mini,stop,521,3286,3807,0.0004929,0.0003126,0.0008055,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-02/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_1_0.json,gpt-4o-mini,stop,902,2551,3453,0.00038265,0.0005411999999999999,0.0009238499999999999,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-02/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_1_1.json,gpt-4o-mini,stop,1323,3706,5029,0.0005559,0.0007938,0.0013497000000000001,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-02/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_2_0.json,gpt-4o-mini,stop,871,2087,2958,0.00031305,0.0005226,0.0008356500000000001,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-02/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_1_2.json,gpt-4o-mini,stop,837,2739,3576,0.00041085,0.0005022,0.0009130499999999999,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-08/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/scenario_2.json,o4-mini,stop,1347,4820,6167,0.005302,0.0059268,0.0112288,o4-mini
./dataframe-ec/30b/MANTIS-tests-08/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/parseAndAddToColumn_1.json,,,0,0,0,0.0,0.0,0.0,unknown
./dataframe-ec/30b/MANTIS-tests-08/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/parseAndAddToColumn_2.json,,,0,0,0,0.0,0.0,0.0,unknown
./dataframe-ec/30b/MANTIS-tests-08/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/parseAndAddToColumn_0.json,,,0,0,0,0.0,0.0,0.0,unknown
./dataframe-ec/30b/MANTIS-tests-08/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/scenario_0.json,o4-mini,stop,2015,3595,5610,0.0039545000000000005,0.008866,0.012820500000000002,o4-mini
./dataframe-ec/30b/MANTIS-tests-08/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/scenario_1.json,o4-mini,stop,1542,3811,5353,0.0041921,0.0067848000000000006,0.010976900000000001,o4-mini
./dataframe-ec/30b/MANTIS-tests-08/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/guide_0.json,gpt-4o-mini,stop,311,3724,4035,0.0005586,0.00018659999999999998,0.0007452,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-08/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/test_1.json,o4-mini,stop,1390,2475,3865,0.0027225,0.006116,0.0088385,o4-mini
./dataframe-ec/30b/MANTIS-tests-08/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/test_0.json,o4-mini,stop,1629,3035,4664,0.0033385000000000003,0.0071676000000000005,0.0105061,o4-mini
./dataframe-ec/30b/MANTIS-tests-08/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/guide_1.json,gpt-4o-mini,stop,350,3339,3689,0.00050085,0.00020999999999999998,0.00071085,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-08/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_2_1.json,gpt-4o-mini,stop,1048,2664,3712,0.00039959999999999996,0.0006288,0.0010284,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-08/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/test_2.json,o4-mini,stop,974,2375,3349,0.0026125000000000002,0.0042856000000000005,0.006898100000000001,o4-mini
./dataframe-ec/30b/MANTIS-tests-08/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_2_2.json,gpt-4o-mini,stop,851,2492,3343,0.0003738,0.0005105999999999999,0.0008843999999999999,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-08/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/guide_2.json,gpt-4o-mini,stop,364,3153,3517,0.00047295,0.0002184,0.00069135,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-08/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_1_0.json,gpt-4o-mini,stop,1474,2431,3905,0.00036465,0.0008843999999999999,0.0012490499999999998,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-08/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_1_1.json,gpt-4o-mini,stop,1042,2038,3080,0.0003057,0.0006252,0.0009309,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-08/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_2_0.json,gpt-4o-mini,stop,1478,3010,4488,0.00045149999999999997,0.0008868,0.0013383,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-08/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_1_2.json,gpt-4o-mini,stop,851,1860,2711,0.000279,0.0005105999999999999,0.0007895999999999999,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-05/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/scenario_2.json,o4-mini,stop,2215,4576,6791,0.0050336,0.009746000000000001,0.0147796,o4-mini
./dataframe-ec/30b/MANTIS-tests-05/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/parseAndAddToColumn_1.json,,,0,0,0,0.0,0.0,0.0,unknown
./dataframe-ec/30b/MANTIS-tests-05/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/parseAndAddToColumn_2.json,,,0,0,0,0.0,0.0,0.0,unknown
./dataframe-ec/30b/MANTIS-tests-05/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/parseAndAddToColumn_0.json,,,0,0,0,0.0,0.0,0.0,unknown
./dataframe-ec/30b/MANTIS-tests-05/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/scenario_0.json,o4-mini,stop,2064,3595,5659,0.0039545000000000005,0.0090816,0.013036100000000002,o4-mini
./dataframe-ec/30b/MANTIS-tests-05/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/scenario_1.json,o4-mini,stop,1655,3940,5595,0.004334,0.007282,0.011616000000000001,o4-mini
./dataframe-ec/30b/MANTIS-tests-05/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/guide_0.json,gpt-4o-mini,stop,326,3843,4169,0.0005764499999999999,0.00019559999999999998,0.0007720499999999999,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-05/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/test_1.json,o4-mini,stop,1799,2198,3997,0.0024178000000000003,0.0079156,0.0103334,o4-mini
./dataframe-ec/30b/MANTIS-tests-05/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/test_0.json,o4-mini,stop,2078,3092,5170,0.0034012,0.0091432,0.0125444,o4-mini
./dataframe-ec/30b/MANTIS-tests-05/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/guide_1.json,gpt-4o-mini,stop,615,3457,4072,0.00051855,0.00036899999999999997,0.00088755,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-05/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_2_1.json,gpt-4o-mini,stop,645,3047,3692,0.00045704999999999997,0.000387,0.0008440499999999999,gpt-4o-mini
./dataframe-ec/30b/MANTIS-tests-05/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/test_2.json,o4-mini,stop,1709,2984,4693,0.0032824,0.0075196,0.010802,o4-mini
./dataframe-ec/30b/MANTIS-tests-05/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_2_2.json,gpt-4o-mini,stop,1115,5581,6696,0.0008371499999999999,0.000669,0.00150615,gpt-4o-mini
