file_path,model,finish_reason,completion_tokens,prompt_tokens,total_tokens,input_cost,output_cost,total_cost,model_key
./TheAlgorithms-Java/6563b/MANTIS-tests-01/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/setScores_2.json,,,0,0,0,0.0,0.0,0.0,unknown
./TheAlgorithms-Java/6563b/MANTIS-tests-01/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/scenario_2.json,o4-mini,stop,1648,4628,6276,0.0050908,0.0072512,0.012342,o4-mini
./TheAlgorithms-Java/6563b/MANTIS-tests-01/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/setScores_0.json,,,0,0,0,0.0,0.0,0.0,unknown
./TheAlgorithms-Java/6563b/MANTIS-tests-01/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/setScores_1.json,,,0,0,0,0.0,0.0,0.0,unknown
./TheAlgorithms-Java/6563b/MANTIS-tests-01/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/scenario_0.json,o4-mini,stop,1119,4588,5707,0.005046800000000001,0.0049236,0.0099704,o4-mini
./TheAlgorithms-Java/6563b/MANTIS-tests-01/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/scenario_1.json,o4-mini,stop,1481,4270,5751,0.004697000000000001,0.0065164,0.011213400000000002,o4-mini
./TheAlgorithms-Java/6563b/MANTIS-tests-01/TheAlgorithms-Java/MiniMaxAlgorithm/test_output/setScores/test_1.json,o4-mini,stop,576,3039,3615,0.0033429,0.0025344,0.0058773,o4-mini
./TheAlgorithms-Java/6563b/MANTIS-tests-01/TheAlgorithms-Java/MiniMaxAlgorithm/test_output/setScores/test_0.json,o4-mini,stop,970,3484,4454,0.0038324,0.004268,0.0081004,o4-mini
./TheAlgorithms-Java/6563b/MANTIS-tests-01/TheAlgorithms-Java/MiniMaxAlgorithm/test_output/setScores/test_2.json,o4-mini,stop,716,3144,3860,0.0034584000000000004,0.0031504000000000002,0.006608800000000001,o4-mini
./TheAlgorithms-Java/6563b/MANTIS-tests-09/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/setScores_2.json,,,0,0,0,0.0,0.0,0.0,unknown
./TheAlgorithms-Java/6563b/MANTIS-tests-09/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/scenario_2.json,o4-mini,stop,1813,4998,6811,0.005497800000000001,0.0079772,0.013475,o4-mini
./TheAlgorithms-Java/6563b/MANTIS-tests-09/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/setScores_0.json,,,0,0,0,0.0,0.0,0.0,unknown
./TheAlgorithms-Java/6563b/MANTIS-tests-09/TheAlgorithms-Java/MiniMaxAlgorithm/scenario_output/setScores/setScores_1.json,,,0,0,0,0.0,0.0,0.0,unknown
