folder_name,input_token_sum,output_token_sum,total_token_sum,o4-mini_input_token_sum,gpt-4o-mini_input_token_sum,o4-mini_output_token_sum,gpt-4o-mini_output_token_sum,input_cost_sum,output_cost_sum,total_cost_sum,o4-mini_input_cost_sum,gpt-4o-mini_input_cost_sum,o4-mini_output_cost_sum,gpt-4o-mini_output_cost_sum,o4-mini_total_cost_sum,gpt-4o-mini_total_cost_sum
105b-word-wrap,929440,231143,1160583,727847,201593,167596,63547,0.8308706499999972,0.7755505999999988,1.606421249999996,0.8006317,0.030238949999997197,0.7374223999999999,0.0381281999999988,1.5380540999999999,0.06836714999999599
1605b-epubcheck,1323909,292729,1616638,697825,626084,150418,142311,0.8615200999999976,0.7472257999999976,1.6087458999999953,0.7676075,0.09391259999999758,0.6618392,0.0853865999999976,1.4294467,0.1792991999999952
163b-event-ruler,118407,52374,170781,79220,39187,42684,9690,0.09302004999999969,0.1936235999999998,0.2866436499999995,0.087142,0.0058780499999997,0.18780960000000002,0.005813999999999799,0.2749516,0.0116920499999995
2204b-jsoup-jsoup,1389847,301178,1691025,1117835,272012,235610,65568,1.2704202999999965,1.0760247999999966,2.3464450999999933,1.2296185000000002,0.040801799999996294,1.036684,0.0393407999999965,2.2663025,0.08014259999999279
2235b-jsoup-jsoup,2698396,194864,2893260,2683356,15040,191480,3384,2.9539476000000002,0.8445424,3.79849,2.9516916,0.002256,0.8425119999999999,0.0020304,3.7942036000000003,0.0042864
2266b-jsoup-jsoup,543541,120827,664368,482602,60939,100098,20729,0.5400030499999992,0.4528685999999995,0.9928716499999987,0.5308622,0.0091408499999993,0.44043119999999997,0.0124373999999996,0.9712934,0.0215782499999989
2323b-jsoup-jsoup,945802,205481,1151283,666625,279177,139731,65750,0.7751640499999956,0.6542663999999971,1.4294304499999928,0.7332875000000001,0.0418765499999955,0.6148164,0.03944999999999699,1.3481039000000001,0.08132654999999249
2325b-jsoup-jsoup,1479971,429092,1909063,974625,505346,250518,178574,1.1478893999999966,1.209423599999996,2.3573129999999924,1.0720874999999999,0.0758018999999967,1.1022792,0.1071443999999962,2.1743666999999998,0.1829462999999929
2332b-jsoup-jsoup,1906449,469279,2375728,1196291,710158,277323,191956,1.422443799999992,1.335394799999992,2.757838599999984,1.3159201,0.10652369999999199,1.2202212,0.11517359999999219,2.5361412999999997,0.22169729999998417
2334b-jsoup-jsoup,8905882,909919,9815801,7734898,1170984,593631,316288,8.684035399999983,2.8017491999999873,11.48578459999997,8.508387800000001,0.17564759999998347,2.6119763999999996,0.1897727999999873,11.120364200000001,0.3654203999999708
2355b-jsoup-jsoup,1285972,383995,1669967,752932,533040,221813,162182,0.9081811999999942,1.0732863999999958,1.98146759999999,0.8282252,0.0799559999999943,0.9759772000000001,0.0973091999999956,1.8042024,0.1772651999999899
2391b-jsoup-jsoup,1271832,88840,1360672,1236596,35236,80588,8252,1.3655409999999994,0.3595383999999996,1.725079399999999,1.3602556000000001,0.0052853999999993,0.3545872,0.0049511999999996,1.7148428,0.0102365999999989
2397b-jsoup-jsoup,440302,71648,511950,440302,0,71648,0,0.4843322,0.31525119999999995,0.7995833999999999,0.4843322,0.0,0.31525119999999995,0.0,0.7995833999999999,0.0
2406b-jsoup-jsoup,582248,171204,753452,366336,215912,105049,66155,0.43535639999999864,0.5019085999999979,0.9372649999999966,0.40296960000000004,0.0323867999999986,0.4622156,0.039692999999997994,0.8651852,0.07207979999999659
2425b-jsoup-jsoup,545510,139796,685306,345059,200451,83557,56239,0.409632549999997,0.4013941999999982,0.8110267499999952,0.3795648999999999,0.030067649999997004,0.36765079999999994,0.0337433999999982,0.7472156999999999,0.0638110499999952
2452b-jsoup-jsoup,1343719,384960,1728679,957608,386111,244058,140902,1.111285449999997,1.1583963999999973,2.2696818499999942,1.0533688,0.0579166499999969,1.0738552000000003,0.0845411999999972,2.1272240000000004,0.14245784999999409
30b-dataframe-ec,494578,181908,676486,199643,294935,103823,78085,0.2638475499999968,0.5036721999999966,0.7675197499999934,0.2196073,0.0442402499999968,0.45682120000000004,0.0468509999999966,0.6764285000000001,0.0910912499999934
483b-EvalEx,957337,265208,1222545,516805,440532,140031,125177,0.6345652999999973,0.6912425999999975,1.3258078999999947,0.5684855,0.0660797999999974,0.6161364,0.0751061999999975,1.1846219,0.1411859999999949
5697b-TheAlgorithms-Java,110236,37978,148214,110236,0,37978,0,0.1212596,0.16710319999999998,0.2883628,0.1212596,0.0,0.1671032,0.0,0.28836280000000003,0.0
5b-semver4j,441703,70433,512136,432599,9104,69304,1129,0.4772244999999999,0.30561499999999997,0.7828394999999999,0.47585890000000003,0.0013655999999999,0.30493760000000003,0.0006774,0.7807965000000001,0.0020429999999999
6332b-TheAlgorithms-Java,105815,54623,160438,97763,8052,51788,2835,0.10874709999999979,0.22956819999999992,0.3383152999999997,0.10753929999999998,0.0012077999999997998,0.22786720000000002,0.0017009999999998999,0.3354065,0.0029087999999996995
63b-dotenv-java,238688,95637,334325,134630,104058,60868,34769,0.16370169999999898,0.2886805999999993,0.45238229999999824,0.148093,0.015608699999998999,0.2678192,0.0208613999999993,0.41591219999999995,0.0364700999999983
6563b-TheAlgorithms-Java,240271,66525,306796,232252,8019,65266,1259,0.25668005,0.2879257999999999,0.54460585,0.2554772,0.00120285,0.28717040000000005,0.0007553999999999,0.5426476,0.0019582499999999
