file_path,model,finish_reason,completion_tokens,prompt_tokens,total_tokens
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/scenario_output/parse/scenario_2.json,o4-mini,stop,1648,13429,15077
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/scenario_output/parse/parse_1.json,,,0,0,0
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/scenario_output/parse/parse_0.json,,,0,0,0
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/scenario_output/parse/parse_2.json,,,0,0,0
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/scenario_output/parse/scenario_0.json,o4-mini,stop,3101,9470,12571
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/scenario_output/parse/scenario_1.json,o4-mini,stop,1843,11394,13237
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/test_output/parse/guide_0.json,gpt-4o-mini,stop,794,11722,12516
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/test_output/parse/test_1.json,o4-mini,stop,2132,9002,11134
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/test_output/parse/test_0.json,o4-mini,stop,3666,9577,13243
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/test_output/parse/guide_1.json,gpt-4o-mini,stop,1066,8859,9925
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/test_output/parse/fix_2_1.json,gpt-4o-mini,stop,2080,8899,10979
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/test_output/parse/test_2.json,o4-mini,stop,971,8022,8993
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/test_output/parse/fix_2_2.json,gpt-4o-mini,stop,739,3601,4340
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/test_output/parse/guide_2.json,gpt-4o-mini,stop,476,4151,4627
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/test_output/parse/fix_1_0.json,gpt-4o-mini,stop,3327,11991,15318
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/test_output/parse/fix_1_1.json,gpt-4o-mini,stop,1987,8813,10800
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/test_output/parse/fix_2_0.json,gpt-4o-mini,stop,3337,11490,14827
./epubcheck/1605b/MANTIS-tests-01/epubcheck/CssParser/test_output/parse/fix_1_2.json,gpt-4o-mini,stop,739,3891,4630
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/scenario_output/parse/scenario_2.json,o4-mini,stop,1563,12510,14073
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/scenario_output/parse/parse_1.json,,,0,0,0
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/scenario_output/parse/parse_0.json,,,0,0,0
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/scenario_output/parse/parse_2.json,,,0,0,0
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/scenario_output/parse/scenario_0.json,o4-mini,stop,3230,9470,12700
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/scenario_output/parse/scenario_1.json,o4-mini,stop,1955,10548,12503
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/test_output/parse/guide_0.json,gpt-4o-mini,stop,313,5806,6119
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/test_output/parse/test_1.json,o4-mini,stop,2310,8736,11046
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/test_output/parse/test_0.json,o4-mini,stop,2320,10403,12723
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/test_output/parse/guide_1.json,gpt-4o-mini,stop,221,5082,5303
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/test_output/parse/fix_2_1.json,gpt-4o-mini,stop,2104,4277,6381
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/test_output/parse/test_2.json,o4-mini,stop,2012,8256,10268
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/test_output/parse/fix_2_2.json,gpt-4o-mini,stop,1394,3440,4834
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/test_output/parse/guide_2.json,gpt-4o-mini,stop,136,4330,4466
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/test_output/parse/fix_1_0.json,gpt-4o-mini,stop,2466,5121,7587
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/test_output/parse/fix_1_1.json,gpt-4o-mini,stop,2105,4572,6677
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/test_output/parse/fix_2_0.json,gpt-4o-mini,stop,2466,5093,7559
./epubcheck/1605b/MANTIS-tests-09/epubcheck/CssParser/test_output/parse/fix_1_2.json,gpt-4o-mini,stop,1374,3914,5288
./epubcheck/1605b/MANTIS-tests-02/epubcheck/CssParser/scenario_output/parse/scenario_2.json,o4-mini,stop,1732,11870,13602
./epubcheck/1605b/MANTIS-tests-02/epubcheck/CssParser/scenario_output/parse/parse_1.json,,,0,0,0
./epubcheck/1605b/MANTIS-tests-02/epubcheck/CssParser/scenario_output/parse/parse_0.json,,,0,0,0
./epubcheck/1605b/MANTIS-tests-02/epubcheck/CssParser/scenario_output/parse/parse_2.json,,,0,0,0
./epubcheck/1605b/MANTIS-tests-02/epubcheck/CssParser/scenario_output/parse/scenario_0.json,o4-mini,stop,1713,9470,11183
./epubcheck/1605b/MANTIS-tests-02/epubcheck/CssParser/scenario_output/parse/scenario_1.json,o4-mini,stop,1427,10391,11818
./epubcheck/1605b/MANTIS-tests-02/epubcheck/CssParser/test_output/parse/guide_0.json,gpt-4o-mini,stop,797,6299,7096
./epubcheck/1605b/MANTIS-tests-02/epubcheck/CssParser/test_output/parse/test_1.json,o4-mini,stop,1615,8524,10139
./epubcheck/1605b/MANTIS-tests-02/epubcheck/CssParser/test_output/parse/test_0.json,o4-mini,stop,2352,8734,11086
./epubcheck/1605b/MANTIS-tests-02/epubcheck/CssParser/test_output/parse/guide_1.json,gpt-4o-mini,stop,1289,5886,7175
./epubcheck/1605b/MANTIS-tests-02/epubcheck/CssParser/test_output/parse/fix_2_1.json,gpt-4o-mini,stop,1582,6149,7731
./epubcheck/1605b/MANTIS-tests-02/epubcheck/CssParser/test_output/parse/test_2.json,o4-mini,stop,2380,8567,10947
./epubcheck/1605b/MANTIS-tests-02/epubcheck/CssParser/test_output/parse/fix_2_2.json,gpt-4o-mini,stop,1731,5114,6845
./epubcheck/1605b/MANTIS-tests-02/epubcheck/CssParser/test_output/parse/guide_2.json,gpt-4o-mini,stop,501,5639,6140
