file_path,model,finish_reason,completion_tokens,prompt_tokens,total_tokens
./jsoup-jsoup/2235b/MANTIS-tests-01/jsoup-jsoup/Document/scenario_output/outputSettings/scenario_2.json,o4-mini,stop,1186,7729,8915
./jsoup-jsoup/2235b/MANTIS-tests-01/jsoup-jsoup/Document/scenario_output/outputSettings/outputSettings_2.json,,,0,0,0
./jsoup-jsoup/2235b/MANTIS-tests-01/jsoup-jsoup/Document/scenario_output/outputSettings/outputSettings_0.json,,,0,0,0
./jsoup-jsoup/2235b/MANTIS-tests-01/jsoup-jsoup/Document/scenario_output/outputSettings/scenario_0.json,o4-mini,stop,557,8170,8727
./jsoup-jsoup/2235b/MANTIS-tests-01/jsoup-jsoup/Document/scenario_output/outputSettings/scenario_1.json,o4-mini,stop,718,7519,8237
./jsoup-jsoup/2235b/MANTIS-tests-01/jsoup-jsoup/Document/scenario_output/outputSettings/outputSettings_1.json,,,0,0,0
./jsoup-jsoup/2235b/MANTIS-tests-01/jsoup-jsoup/Document/test_output/outputSettings/test_1.json,o4-mini,stop,357,6423,6780
./jsoup-jsoup/2235b/MANTIS-tests-01/jsoup-jsoup/Document/test_output/outputSettings/test_0.json,o4-mini,stop,909,6696,7605
./jsoup-jsoup/2235b/MANTIS-tests-01/jsoup-jsoup/Document/test_output/outputSettings/test_2.json,o4-mini,stop,741,6507,7248
./jsoup-jsoup/2235b/MANTIS-tests-01/jsoup-jsoup/Element/scenario_output/dataset/scenario_2.json,o4-mini,stop,1540,19420,20960
./jsoup-jsoup/2235b/MANTIS-tests-01/jsoup-jsoup/Element/scenario_output/dataset/dataset_0.json,,,0,0,0
./jsoup-jsoup/2235b/MANTIS-tests-01/jsoup-jsoup/Element/scenario_output/dataset/dataset_2.json,,,0,0,0
./jsoup-jsoup/2235b/MANTIS-tests-01/jsoup-jsoup/Element/scenario_output/dataset/scenario_0.json,o4-mini,stop,1162,19226,20388
./jsoup-jsoup/2235b/MANTIS-tests-01/jsoup-jsoup/Element/scenario_output/dataset/dataset_1.json,,,0,0,0
./jsoup-jsoup/2235b/MANTIS-tests-01/jsoup-jsoup/Element/scenario_output/dataset/scenario_1.json,o4-mini,stop,1341,18794,20135
./jsoup-jsoup/2235b/MANTIS-tests-01/jsoup-jsoup/Element/scenario_output/attr/scenario_2.json,o4-mini,stop,1189,19342,20531
./jsoup-jsoup/2235b/MANTIS-tests-01/jsoup-jsoup/Element/scenario_output/attr/attr_2.json,,,0,0,0
./jsoup-jsoup/2235b/MANTIS-tests-01/jsoup-jsoup/Element/scenario_output/attr/attr_0.json,,,0,0,0
./jsoup-jsoup/2235b/MANTIS-tests-01/jsoup-jsoup/Element/scenario_output/attr/attr_1.json,,,0,0,0
./jsoup-jsoup/2235b/MANTIS-tests-01/jsoup-jsoup/Element/scenario_output/attr/scenario_0.json,o4-mini,stop,1493,19226,20719
./jsoup-jsoup/2235b/MANTIS-tests-01/jsoup-jsoup/Element/scenario_output/attr/scenario_1.json,o4-mini,stop,1152,18885,20037
./jsoup-jsoup/2235b/MANTIS-tests-01/jsoup-jsoup/Element/test_output/dataset/test_1.json,o4-mini,stop,679,18065,18744
./jsoup-jsoup/2235b/MANTIS-tests-01/jsoup-jsoup/Element/test_output/dataset/test_0.json,o4-mini,stop,1091,18273,19364
./jsoup-jsoup/2235b/MANTIS-tests-01/jsoup-jsoup/Element/test_output/dataset/test_2.json,o4-mini,stop,1273,18330,19603
./jsoup-jsoup/2235b/MANTIS-tests-01/jsoup-jsoup/Element/test_output/attr/test_1.json,o4-mini,stop,638,17868,18506
./jsoup-jsoup/2235b/MANTIS-tests-01/jsoup-jsoup/Element/test_output/attr/test_0.json,o4-mini,stop,1131,18590,19721
./jsoup-jsoup/2235b/MANTIS-tests-01/jsoup-jsoup/Element/test_output/attr/test_2.json,o4-mini,stop,635,17806,18441
./jsoup-jsoup/2235b/MANTIS-tests-09/jsoup-jsoup/Document/scenario_output/outputSettings/scenario_2.json,o4-mini,stop,1079,7598,8677
./jsoup-jsoup/2235b/MANTIS-tests-09/jsoup-jsoup/Document/scenario_output/outputSettings/outputSettings_2.json,,,0,0,0
./jsoup-jsoup/2235b/MANTIS-tests-09/jsoup-jsoup/Document/scenario_output/outputSettings/scenario_0.json,o4-mini,stop,824,8170,8994
./jsoup-jsoup/2235b/MANTIS-tests-09/jsoup-jsoup/Document/scenario_output/outputSettings/scenario_1.json,o4-mini,stop,712,7416,8128
./jsoup-jsoup/2235b/MANTIS-tests-09/jsoup-jsoup/Document/scenario_output/outputSettings/outputSettings_1.json,,,0,0,0
./jsoup-jsoup/2235b/MANTIS-tests-09/jsoup-jsoup/Document/test_output/outputSettings/test_1.json,o4-mini,stop,294,6417,6711
./jsoup-jsoup/2235b/MANTIS-tests-09/jsoup-jsoup/Document/test_output/outputSettings/test_0.json,o4-mini,stop,601,6840,7441
./jsoup-jsoup/2235b/MANTIS-tests-09/jsoup-jsoup/Document/test_output/outputSettings/test_2.json,o4-mini,stop,428,6451,6879
./jsoup-jsoup/2235b/MANTIS-tests-09/jsoup-jsoup/Element/scenario_output/dataset/scenario_2.json,o4-mini,stop,1090,19653,20743
./jsoup-jsoup/2235b/MANTIS-tests-09/jsoup-jsoup/Element/scenario_output/dataset/dataset_0.json,,,0,0,0
./jsoup-jsoup/2235b/MANTIS-tests-09/jsoup-jsoup/Element/scenario_output/dataset/dataset_2.json,,,0,0,0
./jsoup-jsoup/2235b/MANTIS-tests-09/jsoup-jsoup/Element/scenario_output/dataset/scenario_0.json,o4-mini,stop,1681,19226,20907
./jsoup-jsoup/2235b/MANTIS-tests-09/jsoup-jsoup/Element/scenario_output/dataset/dataset_1.json,,,0,0,0
./jsoup-jsoup/2235b/MANTIS-tests-09/jsoup-jsoup/Element/scenario_output/dataset/scenario_1.json,o4-mini,stop,1506,18882,20388
./jsoup-jsoup/2235b/MANTIS-tests-09/jsoup-jsoup/Element/scenario_output/attr/scenario_2.json,o4-mini,stop,1142,19273,20415
./jsoup-jsoup/2235b/MANTIS-tests-09/jsoup-jsoup/Element/scenario_output/attr/attr_2.json,,,0,0,0
./jsoup-jsoup/2235b/MANTIS-tests-09/jsoup-jsoup/Element/scenario_output/attr/attr_0.json,,,0,0,0
./jsoup-jsoup/2235b/MANTIS-tests-09/jsoup-jsoup/Element/scenario_output/attr/attr_1.json,,,0,0,0
./jsoup-jsoup/2235b/MANTIS-tests-09/jsoup-jsoup/Element/scenario_output/attr/scenario_0.json,o4-mini,stop,1460,19226,20686
./jsoup-jsoup/2235b/MANTIS-tests-09/jsoup-jsoup/Element/scenario_output/attr/scenario_1.json,o4-mini,stop,959,18894,19853
./jsoup-jsoup/2235b/MANTIS-tests-09/jsoup-jsoup/Element/test_output/dataset/test_1.json,o4-mini,stop,1195,18368,19563
./jsoup-jsoup/2235b/MANTIS-tests-09/jsoup-jsoup/Element/test_output/dataset/test_0.json,o4-mini,stop,1052,18541,19593
./jsoup-jsoup/2235b/MANTIS-tests-09/jsoup-jsoup/Element/test_output/dataset/test_2.json,o4-mini,stop,713,17796,18509
./jsoup-jsoup/2235b/MANTIS-tests-09/jsoup-jsoup/Element/test_output/attr/test_1.json,o4-mini,stop,556,17733,18289
./jsoup-jsoup/2235b/MANTIS-tests-09/jsoup-jsoup/Element/test_output/attr/test_0.json,o4-mini,stop,1078,18379,19457
./jsoup-jsoup/2235b/MANTIS-tests-09/jsoup-jsoup/Element/test_output/attr/test_2.json,o4-mini,stop,564,17718,18282
./jsoup-jsoup/2235b/MANTIS-tests-02/jsoup-jsoup/Document/scenario_output/outputSettings/scenario_2.json,o4-mini,stop,1080,7672,8752
./jsoup-jsoup/2235b/MANTIS-tests-02/jsoup-jsoup/Document/scenario_output/outputSettings/outputSettings_2.json,,,0,0,0
./jsoup-jsoup/2235b/MANTIS-tests-02/jsoup-jsoup/Document/scenario_output/outputSettings/outputSettings_0.json,,,0,0,0
./jsoup-jsoup/2235b/MANTIS-tests-02/jsoup-jsoup/Document/scenario_output/outputSettings/scenario_0.json,o4-mini,stop,545,8170,8715
./jsoup-jsoup/2235b/MANTIS-tests-02/jsoup-jsoup/Document/scenario_output/outputSettings/scenario_1.json,o4-mini,stop,729,7350,8079
./jsoup-jsoup/2235b/MANTIS-tests-02/jsoup-jsoup/Document/scenario_output/outputSettings/outputSettings_1.json,,,0,0,0
./jsoup-jsoup/2235b/MANTIS-tests-02/jsoup-jsoup/Document/test_output/outputSettings/test_1.json,o4-mini,stop,503,6634,7137
./jsoup-jsoup/2235b/MANTIS-tests-02/jsoup-jsoup/Document/test_output/outputSettings/test_0.json,o4-mini,stop,639,6679,7318
./jsoup-jsoup/2235b/MANTIS-tests-02/jsoup-jsoup/Document/test_output/outputSettings/test_2.json,o4-mini,stop,447,6463,6910
./jsoup-jsoup/2235b/MANTIS-tests-02/jsoup-jsoup/Element/scenario_output/dataset/scenario_2.json,o4-mini,stop,1799,19866,21665
./jsoup-jsoup/2235b/MANTIS-tests-02/jsoup-jsoup/Element/scenario_output/dataset/dataset_0.json,,,0,0,0
./jsoup-jsoup/2235b/MANTIS-tests-02/jsoup-jsoup/Element/scenario_output/dataset/dataset_2.json,,,0,0,0
./jsoup-jsoup/2235b/MANTIS-tests-02/jsoup-jsoup/Element/scenario_output/dataset/scenario_0.json,o4-mini,stop,1962,19226,21188
./jsoup-jsoup/2235b/MANTIS-tests-02/jsoup-jsoup/Element/scenario_output/dataset/dataset_1.json,,,0,0,0
./jsoup-jsoup/2235b/MANTIS-tests-02/jsoup-jsoup/Element/scenario_output/dataset/scenario_1.json,o4-mini,stop,1124,19067,20191
./jsoup-jsoup/2235b/MANTIS-tests-02/jsoup-jsoup/Element/scenario_output/attr/scenario_2.json,o4-mini,stop,1178,19541,20719
./jsoup-jsoup/2235b/MANTIS-tests-02/jsoup-jsoup/Element/scenario_output/attr/attr_2.json,,,0,0,0
./jsoup-jsoup/2235b/MANTIS-tests-02/jsoup-jsoup/Element/scenario_output/attr/attr_0.json,,,0,0,0
./jsoup-jsoup/2235b/MANTIS-tests-02/jsoup-jsoup/Element/scenario_output/attr/attr_1.json,,,0,0,0
./jsoup-jsoup/2235b/MANTIS-tests-02/jsoup-jsoup/Element/scenario_output/attr/scenario_0.json,o4-mini,stop,1921,19226,21147
./jsoup-jsoup/2235b/MANTIS-tests-02/jsoup-jsoup/Element/scenario_output/attr/scenario_1.json,o4-mini,stop,966,19076,20042
./jsoup-jsoup/2235b/MANTIS-tests-02/jsoup-jsoup/Element/test_output/dataset/test_1.json,o4-mini,stop,912,18256,19168
./jsoup-jsoup/2235b/MANTIS-tests-02/jsoup-jsoup/Element/test_output/dataset/test_0.json,o4-mini,stop,1223,18763,19986
./jsoup-jsoup/2235b/MANTIS-tests-02/jsoup-jsoup/Element/test_output/dataset/test_2.json,o4-mini,stop,1053,18471,19524
./jsoup-jsoup/2235b/MANTIS-tests-02/jsoup-jsoup/Element/test_output/attr/test_1.json,o4-mini,stop,663,17738,18401
./jsoup-jsoup/2235b/MANTIS-tests-02/jsoup-jsoup/Element/test_output/attr/test_0.json,o4-mini,stop,1282,18853,20135
./jsoup-jsoup/2235b/MANTIS-tests-02/jsoup-jsoup/Element/test_output/attr/test_2.json,o4-mini,stop,774,17760,18534
./jsoup-jsoup/2235b/MANTIS-tests-08/jsoup-jsoup/Document/scenario_output/outputSettings/scenario_2.json,o4-mini,stop,2023,8152,10175
./jsoup-jsoup/2235b/MANTIS-tests-08/jsoup-jsoup/Document/scenario_output/outputSettings/outputSettings_2.json,,,0,0,0
./jsoup-jsoup/2235b/MANTIS-tests-08/jsoup-jsoup/Document/scenario_output/outputSettings/outputSettings_0.json,,,0,0,0
./jsoup-jsoup/2235b/MANTIS-tests-08/jsoup-jsoup/Document/scenario_output/outputSettings/scenario_0.json,o4-mini,stop,956,8170,9126
./jsoup-jsoup/2235b/MANTIS-tests-08/jsoup-jsoup/Document/scenario_output/outputSettings/scenario_1.json,o4-mini,stop,1197,7647,8844
