file_path,model,finish_reason,completion_tokens,prompt_tokens,total_tokens
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/scenario_2.json,o4-mini,stop,2432,4840,7272
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/parseAndAddToColumn_1.json,,,0,0,0
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/parseAndAddToColumn_2.json,,,0,0,0
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/parseAndAddToColumn_0.json,,,0,0,0
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/scenario_0.json,o4-mini,stop,1860,3595,5455
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/scenario_1.json,o4-mini,stop,1640,3683,5323
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/guide_0.json,gpt-4o-mini,stop,1655,4686,6341
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/test_1.json,o4-mini,stop,1760,2779,4539
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/test_0.json,o4-mini,stop,1679,3129,4808
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/guide_1.json,gpt-4o-mini,stop,477,4225,4702
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_2_1.json,gpt-4o-mini,stop,1180,3677,4857
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/test_2.json,o4-mini,stop,2227,3066,5293
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_2_2.json,gpt-4o-mini,stop,1225,2589,3814
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/guide_2.json,gpt-4o-mini,stop,219,3395,3614
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_1_0.json,gpt-4o-mini,stop,1335,4502,5837
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_1_1.json,gpt-4o-mini,stop,1149,4067,5216
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_2_0.json,gpt-4o-mini,stop,1336,5316,6652
./dataframe-ec/30b/MANTIS-tests-01/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_1_2.json,gpt-4o-mini,stop,1237,2213,3450
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/scenario_2.json,o4-mini,stop,2126,4853,6979
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/parseAndAddToColumn_1.json,,,0,0,0
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/parseAndAddToColumn_2.json,,,0,0,0
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/parseAndAddToColumn_0.json,,,0,0,0
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/scenario_0.json,o4-mini,stop,2087,3595,5682
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/scenario_output/parseAndAddToColumn/scenario_1.json,o4-mini,stop,2108,3919,6027
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/guide_0.json,gpt-4o-mini,stop,900,5334,6234
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/test_1.json,o4-mini,stop,1186,2464,3650
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/test_0.json,o4-mini,stop,1824,3302,5126
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/guide_1.json,gpt-4o-mini,stop,470,3439,3909
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_2_1.json,gpt-4o-mini,stop,946,2884,3830
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/test_2.json,o4-mini,stop,1617,2823,4440
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_2_2.json,gpt-4o-mini,stop,1066,5481,6547
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/guide_2.json,gpt-4o-mini,stop,619,5887,6506
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_1_0.json,gpt-4o-mini,stop,1563,6026,7589
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_1_1.json,gpt-4o-mini,stop,999,2774,3773
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_2_0.json,gpt-4o-mini,stop,1585,5209,6794
./dataframe-ec/30b/MANTIS-tests-09/dataframe-ec/DateSchemaColumn/test_output/parseAndAddToColumn/fix_1_2.json,gpt-4o-mini,stop,1066,3852,4918
