file_path,model,finish_reason,completion_tokens,prompt_tokens,total_tokens
./TheAlgorithms-Java/5697b/MANTIS-tests-01/TheAlgorithms-Java/BM25InvertedIndex/scenario_output/search/search_0.json,,,0,0,0
./TheAlgorithms-Java/5697b/MANTIS-tests-01/TheAlgorithms-Java/BM25InvertedIndex/scenario_output/search/scenario_0.json,o4-mini,stop,2130,5737,7867
./TheAlgorithms-Java/5697b/MANTIS-tests-01/TheAlgorithms-Java/BM25InvertedIndex/test_output/search/test_0.json,o4-mini,stop,1599,5304,6903
./TheAlgorithms-Java/5697b/MANTIS-tests-09/TheAlgorithms-Java/BM25InvertedIndex/scenario_output/search/search_0.json,,,0,0,0
./TheAlgorithms-Java/5697b/MANTIS-tests-09/TheAlgorithms-Java/BM25InvertedIndex/scenario_output/search/scenario_0.json,o4-mini,stop,2934,5737,8671
./TheAlgorithms-Java/5697b/MANTIS-tests-09/TheAlgorithms-Java/BM25InvertedIndex/test_output/search/test_0.json,o4-mini,stop,1637,5997,7634
./TheAlgorithms-Java/5697b/MANTIS-tests-02/TheAlgorithms-Java/BM25InvertedIndex/scenario_output/search/search_0.json,,,0,0,0
./TheAlgorithms-Java/5697b/MANTIS-tests-02/TheAlgorithms-Java/BM25InvertedIndex/scenario_output/search/scenario_0.json,o4-mini,stop,1239,5737,6976
./TheAlgorithms-Java/5697b/MANTIS-tests-02/TheAlgorithms-Java/BM25InvertedIndex/test_output/search/test_0.json,o4-mini,stop,1532,4864,6396
./TheAlgorithms-Java/5697b/MANTIS-tests-08/TheAlgorithms-Java/BM25InvertedIndex/scenario_output/search/search_0.json,,,0,0,0
./TheAlgorithms-Java/5697b/MANTIS-tests-08/TheAlgorithms-Java/BM25InvertedIndex/scenario_output/search/scenario_0.json,o4-mini,stop,1600,5737,7337
./TheAlgorithms-Java/5697b/MANTIS-tests-08/TheAlgorithms-Java/BM25InvertedIndex/test_output/search/test_0.json,o4-mini,stop,1481,4967,6448
./TheAlgorithms-Java/5697b/MANTIS-tests-05/TheAlgorithms-Java/BM25InvertedIndex/scenario_output/search/search_0.json,,,0,0,0
./TheAlgorithms-Java/5697b/MANTIS-tests-05/TheAlgorithms-Java/BM25InvertedIndex/scenario_output/search/scenario_0.json,o4-mini,stop,2283,5737,8020
./TheAlgorithms-Java/5697b/MANTIS-tests-05/TheAlgorithms-Java/BM25InvertedIndex/test_output/search/test_0.json,o4-mini,stop,1756,5077,6833
./TheAlgorithms-Java/5697b/MANTIS-tests-03/TheAlgorithms-Java/BM25InvertedIndex/scenario_output/search/search_0.json,,,0,0,0
./TheAlgorithms-Java/5697b/MANTIS-tests-03/TheAlgorithms-Java/BM25InvertedIndex/scenario_output/search/scenario_0.json,o4-mini,stop,2161,5737,7898
./TheAlgorithms-Java/5697b/MANTIS-tests-03/TheAlgorithms-Java/BM25InvertedIndex/test_output/search/test_0.json,o4-mini,stop,1480,5206,6686
./TheAlgorithms-Java/5697b/MANTIS-tests-06/TheAlgorithms-Java/BM25InvertedIndex/scenario_output/search/search_0.json,,,0,0,0
./TheAlgorithms-Java/5697b/MANTIS-tests-06/TheAlgorithms-Java/BM25InvertedIndex/scenario_output/search/scenario_0.json,o4-mini,stop,2134,5737,7871
./TheAlgorithms-Java/5697b/MANTIS-tests-06/TheAlgorithms-Java/BM25InvertedIndex/test_output/search/test_0.json,o4-mini,stop,1417,5311,6728
./TheAlgorithms-Java/5697b/MANTIS-tests-10/TheAlgorithms-Java/BM25InvertedIndex/scenario_output/search/search_0.json,,,0,0,0
./TheAlgorithms-Java/5697b/MANTIS-tests-10/TheAlgorithms-Java/BM25InvertedIndex/scenario_output/search/scenario_0.json,o4-mini,stop,2306,5737,8043
./TheAlgorithms-Java/5697b/MANTIS-tests-10/TheAlgorithms-Java/BM25InvertedIndex/test_output/search/test_0.json,o4-mini,stop,1490,5221,6711
./TheAlgorithms-Java/5697b/MANTIS-tests-07/TheAlgorithms-Java/BM25InvertedIndex/scenario_output/search/search_0.json,,,0,0,0
./TheAlgorithms-Java/5697b/MANTIS-tests-07/TheAlgorithms-Java/BM25InvertedIndex/scenario_output/search/scenario_0.json,o4-mini,stop,3222,5737,8959
./TheAlgorithms-Java/5697b/MANTIS-tests-07/TheAlgorithms-Java/BM25InvertedIndex/test_output/search/test_0.json,o4-mini,stop,2275,5725,8000
./TheAlgorithms-Java/5697b/MANTIS-tests-04/TheAlgorithms-Java/BM25InvertedIndex/scenario_output/search/search_0.json,,,0,0,0
./TheAlgorithms-Java/5697b/MANTIS-tests-04/TheAlgorithms-Java/BM25InvertedIndex/scenario_output/search/scenario_0.json,o4-mini,stop,1953,5737,7690
./TheAlgorithms-Java/5697b/MANTIS-tests-04/TheAlgorithms-Java/BM25InvertedIndex/test_output/search/test_0.json,o4-mini,stop,1349,5194,6543
