file_path,model,finish_reason,completion_tokens,prompt_tokens,total_tokens
./semver4j/5b/MANTIS-tests-01/semver4j/Semver/scenario_output/parse/scenario_2.json,o4-mini,stop,1480,8426,9906
./semver4j/5b/MANTIS-tests-01/semver4j/Semver/scenario_output/parse/parse_1.json,,,0,0,0
./semver4j/5b/MANTIS-tests-01/semver4j/Semver/scenario_output/parse/parse_0.json,,,0,0,0
./semver4j/5b/MANTIS-tests-01/semver4j/Semver/scenario_output/parse/parse_2.json,,,0,0,0
./semver4j/5b/MANTIS-tests-01/semver4j/Semver/scenario_output/parse/scenario_0.json,o4-mini,stop,2341,7802,10143
./semver4j/5b/MANTIS-tests-01/semver4j/Semver/scenario_output/parse/scenario_1.json,o4-mini,stop,1407,7983,9390
./semver4j/5b/MANTIS-tests-01/semver4j/Semver/test_output/parse/test_1.json,o4-mini,stop,552,6309,6861
./semver4j/5b/MANTIS-tests-01/semver4j/Semver/test_output/parse/test_0.json,o4-mini,stop,1395,7865,9260
./semver4j/5b/MANTIS-tests-01/semver4j/Semver/test_output/parse/test_2.json,o4-mini,stop,720,6513,7233
./semver4j/5b/MANTIS-tests-09/semver4j/Semver/scenario_output/parse/scenario_2.json,o4-mini,stop,1090,7722,8812
./semver4j/5b/MANTIS-tests-09/semver4j/Semver/scenario_output/parse/parse_1.json,,,0,0,0
./semver4j/5b/MANTIS-tests-09/semver4j/Semver/scenario_output/parse/parse_0.json,,,0,0,0
./semver4j/5b/MANTIS-tests-09/semver4j/Semver/scenario_output/parse/parse_2.json,,,0,0,0
./semver4j/5b/MANTIS-tests-09/semver4j/Semver/scenario_output/parse/scenario_0.json,o4-mini,stop,725,7802,8527
./semver4j/5b/MANTIS-tests-09/semver4j/Semver/scenario_output/parse/scenario_1.json,o4-mini,stop,1219,7186,8405
./semver4j/5b/MANTIS-tests-09/semver4j/Semver/test_output/parse/test_1.json,o4-mini,stop,787,6379,7166
./semver4j/5b/MANTIS-tests-09/semver4j/Semver/test_output/parse/test_0.json,o4-mini,stop,669,6484,7153
./semver4j/5b/MANTIS-tests-09/semver4j/Semver/test_output/parse/test_2.json,o4-mini,stop,573,6312,6885
./semver4j/5b/MANTIS-tests-02/semver4j/Semver/scenario_output/parse/scenario_2.json,o4-mini,stop,1823,7749,9572
./semver4j/5b/MANTIS-tests-02/semver4j/Semver/scenario_output/parse/parse_1.json,,,0,0,0
./semver4j/5b/MANTIS-tests-02/semver4j/Semver/scenario_output/parse/parse_2.json,,,0,0,0
./semver4j/5b/MANTIS-tests-02/semver4j/Semver/scenario_output/parse/scenario_0.json,o4-mini,stop,1744,7802,9546
./semver4j/5b/MANTIS-tests-02/semver4j/Semver/scenario_output/parse/scenario_1.json,o4-mini,stop,1165,7383,8548
./semver4j/5b/MANTIS-tests-02/semver4j/Semver/test_output/parse/test_1.json,o4-mini,stop,594,6323,6917
./semver4j/5b/MANTIS-tests-02/semver4j/Semver/test_output/parse/test_0.json,o4-mini,stop,1172,6693,7865
./semver4j/5b/MANTIS-tests-02/semver4j/Semver/test_output/parse/test_2.json,o4-mini,stop,878,6903,7781
./semver4j/5b/MANTIS-tests-08/semver4j/Semver/scenario_output/parse/scenario_2.json,o4-mini,stop,2160,7723,9883
./semver4j/5b/MANTIS-tests-08/semver4j/Semver/scenario_output/parse/parse_1.json,,,0,0,0
./semver4j/5b/MANTIS-tests-08/semver4j/Semver/scenario_output/parse/parse_0.json,,,0,0,0
./semver4j/5b/MANTIS-tests-08/semver4j/Semver/scenario_output/parse/parse_2.json,,,0,0,0
./semver4j/5b/MANTIS-tests-08/semver4j/Semver/scenario_output/parse/scenario_0.json,o4-mini,stop,1156,7802,8958
./semver4j/5b/MANTIS-tests-08/semver4j/Semver/scenario_output/parse/scenario_1.json,o4-mini,stop,1363,7368,8731
./semver4j/5b/MANTIS-tests-08/semver4j/Semver/test_output/parse/test_1.json,o4-mini,stop,471,6401,6872
./semver4j/5b/MANTIS-tests-08/semver4j/Semver/test_output/parse/test_0.json,o4-mini,stop,1025,6717,7742
./semver4j/5b/MANTIS-tests-08/semver4j/Semver/test_output/parse/test_2.json,o4-mini,stop,1129,7012,8141
./semver4j/5b/MANTIS-tests-05/semver4j/Semver/scenario_output/parse/scenario_2.json,o4-mini,stop,1400,8027,9427
./semver4j/5b/MANTIS-tests-05/semver4j/Semver/scenario_output/parse/parse_1.json,,,0,0,0
./semver4j/5b/MANTIS-tests-05/semver4j/Semver/scenario_output/parse/parse_0.json,,,0,0,0
./semver4j/5b/MANTIS-tests-05/semver4j/Semver/scenario_output/parse/parse_2.json,,,0,0,0
./semver4j/5b/MANTIS-tests-05/semver4j/Semver/scenario_output/parse/scenario_0.json,o4-mini,stop,1574,7802,9376
./semver4j/5b/MANTIS-tests-05/semver4j/Semver/scenario_output/parse/scenario_1.json,o4-mini,stop,1839,7348,9187
./semver4j/5b/MANTIS-tests-05/semver4j/Semver/test_output/parse/test_1.json,o4-mini,stop,941,6693,7634
./semver4j/5b/MANTIS-tests-05/semver4j/Semver/test_output/parse/test_0.json,o4-mini,stop,880,7094,7974
./semver4j/5b/MANTIS-tests-05/semver4j/Semver/test_output/parse/test_2.json,o4-mini,stop,649,6368,7017
./semver4j/5b/MANTIS-tests-03/semver4j/Semver/scenario_output/parse/scenario_2.json,o4-mini,stop,1374,8619,9993
./semver4j/5b/MANTIS-tests-03/semver4j/Semver/scenario_output/parse/parse_1.json,,,0,0,0
./semver4j/5b/MANTIS-tests-03/semver4j/Semver/scenario_output/parse/parse_0.json,,,0,0,0
./semver4j/5b/MANTIS-tests-03/semver4j/Semver/scenario_output/parse/parse_2.json,,,0,0,0
./semver4j/5b/MANTIS-tests-03/semver4j/Semver/scenario_output/parse/scenario_0.json,o4-mini,stop,2834,7802,10636
./semver4j/5b/MANTIS-tests-03/semver4j/Semver/scenario_output/parse/scenario_1.json,o4-mini,stop,1525,7979,9504
./semver4j/5b/MANTIS-tests-03/semver4j/Semver/test_output/parse/test_1.json,o4-mini,stop,906,6689,7595
./semver4j/5b/MANTIS-tests-03/semver4j/Semver/test_output/parse/test_0.json,o4-mini,stop,1717,8097,9814
./semver4j/5b/MANTIS-tests-03/semver4j/Semver/test_output/parse/test_2.json,o4-mini,stop,388,6412,6800
./semver4j/5b/MANTIS-tests-06/semver4j/Semver/scenario_output/parse/scenario_2.json,o4-mini,stop,1541,7610,9151
./semver4j/5b/MANTIS-tests-06/semver4j/Semver/scenario_output/parse/parse_1.json,,,0,0,0
./semver4j/5b/MANTIS-tests-06/semver4j/Semver/scenario_output/parse/parse_0.json,,,0,0,0
./semver4j/5b/MANTIS-tests-06/semver4j/Semver/scenario_output/parse/parse_2.json,,,0,0,0
./semver4j/5b/MANTIS-tests-06/semver4j/Semver/scenario_output/parse/scenario_0.json,o4-mini,stop,1007,7802,8809
./semver4j/5b/MANTIS-tests-06/semver4j/Semver/scenario_output/parse/scenario_1.json,o4-mini,stop,1077,7212,8289
./semver4j/5b/MANTIS-tests-06/semver4j/Semver/test_output/parse/test_1.json,o4-mini,stop,568,6165,6733
./semver4j/5b/MANTIS-tests-06/semver4j/Semver/test_output/parse/test_0.json,o4-mini,stop,688,6688,7376
./semver4j/5b/MANTIS-tests-06/semver4j/Semver/test_output/parse/test_2.json,o4-mini,stop,995,6579,7574
./semver4j/5b/MANTIS-tests-10/semver4j/Semver/scenario_output/parse/scenario_2.json,o4-mini,stop,1337,7367,8704
./semver4j/5b/MANTIS-tests-10/semver4j/Semver/scenario_output/parse/parse_1.json,,,0,0,0
./semver4j/5b/MANTIS-tests-10/semver4j/Semver/scenario_output/parse/parse_0.json,,,0,0,0
./semver4j/5b/MANTIS-tests-10/semver4j/Semver/scenario_output/parse/parse_2.json,,,0,0,0
./semver4j/5b/MANTIS-tests-10/semver4j/Semver/scenario_output/parse/scenario_0.json,o4-mini,stop,983,7802,8785
./semver4j/5b/MANTIS-tests-10/semver4j/Semver/scenario_output/parse/scenario_1.json,o4-mini,stop,778,7094,7872
./semver4j/5b/MANTIS-tests-10/semver4j/Semver/test_output/parse/test_1.json,o4-mini,stop,359,6120,6479
./semver4j/5b/MANTIS-tests-10/semver4j/Semver/test_output/parse/test_0.json,o4-mini,stop,506,6463,6969
./semver4j/5b/MANTIS-tests-10/semver4j/Semver/test_output/parse/test_2.json,o4-mini,stop,736,6766,7502
./semver4j/5b/MANTIS-tests-07/semver4j/Semver/scenario_output/parse/scenario_2.json,o4-mini,stop,1551,7925,9476
./semver4j/5b/MANTIS-tests-07/semver4j/Semver/scenario_output/parse/parse_1.json,,,0,0,0
./semver4j/5b/MANTIS-tests-07/semver4j/Semver/scenario_output/parse/parse_0.json,,,0,0,0
./semver4j/5b/MANTIS-tests-07/semver4j/Semver/scenario_output/parse/parse_2.json,,,0,0,0
./semver4j/5b/MANTIS-tests-07/semver4j/Semver/scenario_output/parse/scenario_0.json,o4-mini,stop,1388,7802,9190
./semver4j/5b/MANTIS-tests-07/semver4j/Semver/scenario_output/parse/scenario_1.json,o4-mini,stop,1986,7367,9353
./semver4j/5b/MANTIS-tests-07/semver4j/Semver/test_output/parse/guide_0.json,gpt-4o-mini,stop,299,4918,5217
./semver4j/5b/MANTIS-tests-07/semver4j/Semver/test_output/parse/test_1.json,o4-mini,stop,603,6572,7175
./semver4j/5b/MANTIS-tests-07/semver4j/Semver/test_output/parse/test_0.json,o4-mini,stop,904,6879,7783
./semver4j/5b/MANTIS-tests-07/semver4j/Semver/test_output/parse/test_2.json,o4-mini,stop,507,6323,6830
./semver4j/5b/MANTIS-tests-07/semver4j/Semver/test_output/parse/fix_1_0.json,gpt-4o-mini,stop,830,4186,5016
./semver4j/5b/MANTIS-tests-04/semver4j/Semver/scenario_output/parse/scenario_2.json,o4-mini,stop,894,8262,9156
./semver4j/5b/MANTIS-tests-04/semver4j/Semver/scenario_output/parse/parse_1.json,,,0,0,0
./semver4j/5b/MANTIS-tests-04/semver4j/Semver/scenario_output/parse/parse_0.json,,,0,0,0
./semver4j/5b/MANTIS-tests-04/semver4j/Semver/scenario_output/parse/parse_2.json,,,0,0,0
./semver4j/5b/MANTIS-tests-04/semver4j/Semver/scenario_output/parse/scenario_0.json,o4-mini,stop,3384,7802,11186
./semver4j/5b/MANTIS-tests-04/semver4j/Semver/scenario_output/parse/scenario_1.json,o4-mini,stop,1373,7991,9364
./semver4j/5b/MANTIS-tests-04/semver4j/Semver/test_output/parse/test_1.json,o4-mini,stop,479,6271,6750
