file_path,model,finish_reason,completion_tokens,prompt_tokens,total_tokens
./dotenv-java/63b/MANTIS-tests-01/dotenv-java/DotenvBuilder/scenario_output/load/load_0.json,,,0,0,0
./dotenv-java/63b/MANTIS-tests-01/dotenv-java/DotenvBuilder/scenario_output/load/load_2.json,,,0,0,0
./dotenv-java/63b/MANTIS-tests-01/dotenv-java/DotenvBuilder/scenario_output/load/scenario_2.json,o4-mini,stop,1593,5445,7038
./dotenv-java/63b/MANTIS-tests-01/dotenv-java/DotenvBuilder/scenario_output/load/load_1.json,,,0,0,0
./dotenv-java/63b/MANTIS-tests-01/dotenv-java/DotenvBuilder/scenario_output/load/scenario_0.json,o4-mini,stop,1599,4419,6018
./dotenv-java/63b/MANTIS-tests-01/dotenv-java/DotenvBuilder/scenario_output/load/scenario_1.json,o4-mini,stop,2038,4624,6662
./dotenv-java/63b/MANTIS-tests-01/dotenv-java/DotenvBuilder/test_output/load/guide_0.json,gpt-4o-mini,stop,435,3845,4280
./dotenv-java/63b/MANTIS-tests-01/dotenv-java/DotenvBuilder/test_output/load/test_1.json,o4-mini,stop,1687,3548,5235
./dotenv-java/63b/MANTIS-tests-01/dotenv-java/DotenvBuilder/test_output/load/test_0.json,o4-mini,stop,1796,3698,5494
./dotenv-java/63b/MANTIS-tests-01/dotenv-java/DotenvBuilder/test_output/load/guide_1.json,gpt-4o-mini,stop,204,3077,3281
./dotenv-java/63b/MANTIS-tests-01/dotenv-java/DotenvBuilder/test_output/load/fix_2_1.json,gpt-4o-mini,stop,887,2254,3141
./dotenv-java/63b/MANTIS-tests-01/dotenv-java/DotenvBuilder/test_output/load/test_2.json,o4-mini,stop,861,2985,3846
./dotenv-java/63b/MANTIS-tests-01/dotenv-java/DotenvBuilder/test_output/load/fix_2_2.json,gpt-4o-mini,stop,595,2034,2629
./dotenv-java/63b/MANTIS-tests-01/dotenv-java/DotenvBuilder/test_output/load/guide_2.json,gpt-4o-mini,stop,362,2699,3061
./dotenv-java/63b/MANTIS-tests-01/dotenv-java/DotenvBuilder/test_output/load/fix_1_0.json,gpt-4o-mini,stop,1479,3240,4719
./dotenv-java/63b/MANTIS-tests-01/dotenv-java/DotenvBuilder/test_output/load/fix_1_1.json,gpt-4o-mini,stop,912,2351,3263
./dotenv-java/63b/MANTIS-tests-01/dotenv-java/DotenvBuilder/test_output/load/fix_2_0.json,gpt-4o-mini,stop,1477,3253,4730
./dotenv-java/63b/MANTIS-tests-01/dotenv-java/DotenvBuilder/test_output/load/fix_1_2.json,gpt-4o-mini,stop,612,1627,2239
./dotenv-java/63b/MANTIS-tests-09/dotenv-java/DotenvBuilder/scenario_output/load/load_0.json,,,0,0,0
./dotenv-java/63b/MANTIS-tests-09/dotenv-java/DotenvBuilder/scenario_output/load/load_2.json,,,0,0,0
./dotenv-java/63b/MANTIS-tests-09/dotenv-java/DotenvBuilder/scenario_output/load/scenario_2.json,o4-mini,stop,939,5404,6343
./dotenv-java/63b/MANTIS-tests-09/dotenv-java/DotenvBuilder/scenario_output/load/load_1.json,,,0,0,0
./dotenv-java/63b/MANTIS-tests-09/dotenv-java/DotenvBuilder/scenario_output/load/scenario_0.json,o4-mini,stop,2073,4419,6492
./dotenv-java/63b/MANTIS-tests-09/dotenv-java/DotenvBuilder/scenario_output/load/scenario_1.json,o4-mini,stop,1575,4569,6144
./dotenv-java/63b/MANTIS-tests-09/dotenv-java/DotenvBuilder/test_output/load/guide_0.json,gpt-4o-mini,stop,441,3598,4039
./dotenv-java/63b/MANTIS-tests-09/dotenv-java/DotenvBuilder/test_output/load/test_1.json,o4-mini,stop,1409,3351,4760
./dotenv-java/63b/MANTIS-tests-09/dotenv-java/DotenvBuilder/test_output/load/test_0.json,o4-mini,stop,1641,3795,5436
./dotenv-java/63b/MANTIS-tests-09/dotenv-java/DotenvBuilder/test_output/load/guide_1.json,gpt-4o-mini,stop,324,2988,3312
./dotenv-java/63b/MANTIS-tests-09/dotenv-java/DotenvBuilder/test_output/load/fix_2_1.json,gpt-4o-mini,stop,895,2285,3180
./dotenv-java/63b/MANTIS-tests-09/dotenv-java/DotenvBuilder/test_output/load/test_2.json,o4-mini,stop,642,2707,3349
./dotenv-java/63b/MANTIS-tests-09/dotenv-java/DotenvBuilder/test_output/load/fix_1_0.json,gpt-4o-mini,stop,1428,2980,4408
./dotenv-java/63b/MANTIS-tests-09/dotenv-java/DotenvBuilder/test_output/load/fix_1_1.json,gpt-4o-mini,stop,880,2261,3141
./dotenv-java/63b/MANTIS-tests-09/dotenv-java/DotenvBuilder/test_output/load/fix_2_0.json,gpt-4o-mini,stop,1428,3012,4440
./dotenv-java/63b/MANTIS-tests-02/dotenv-java/DotenvBuilder/scenario_output/load/load_0.json,,,0,0,0
./dotenv-java/63b/MANTIS-tests-02/dotenv-java/DotenvBuilder/scenario_output/load/scenario_0.json,o4-mini,stop,1461,4419,5880
./dotenv-java/63b/MANTIS-tests-02/dotenv-java/DotenvBuilder/test_output/load/guide_0.json,gpt-4o-mini,stop,893,3848,4741
./dotenv-java/63b/MANTIS-tests-02/dotenv-java/DotenvBuilder/test_output/load/test_0.json,o4-mini,stop,1786,3694,5480
./dotenv-java/63b/MANTIS-tests-02/dotenv-java/DotenvBuilder/test_output/load/fix_1_0.json,gpt-4o-mini,stop,1626,3377,5003
./dotenv-java/63b/MANTIS-tests-02/dotenv-java/DotenvBuilder/test_output/load/fix_2_0.json,gpt-4o-mini,stop,1613,3714,5327
./dotenv-java/63b/MANTIS-tests-08/dotenv-java/DotenvBuilder/scenario_output/load/load_0.json,,,0,0,0
./dotenv-java/63b/MANTIS-tests-08/dotenv-java/DotenvBuilder/scenario_output/load/scenario_0.json,o4-mini,stop,1601,4419,6020
./dotenv-java/63b/MANTIS-tests-08/dotenv-java/DotenvBuilder/test_output/load/test_0.json,o4-mini,stop,2160,3591,5751
./dotenv-java/63b/MANTIS-tests-05/dotenv-java/DotenvBuilder/scenario_output/load/load_0.json,,,0,0,0
./dotenv-java/63b/MANTIS-tests-05/dotenv-java/DotenvBuilder/scenario_output/load/load_1.json,,,0,0,0
./dotenv-java/63b/MANTIS-tests-05/dotenv-java/DotenvBuilder/scenario_output/load/scenario_0.json,o4-mini,stop,3376,4419,7795
./dotenv-java/63b/MANTIS-tests-05/dotenv-java/DotenvBuilder/scenario_output/load/scenario_1.json,o4-mini,stop,2012,5339,7351
./dotenv-java/63b/MANTIS-tests-05/dotenv-java/DotenvBuilder/test_output/load/guide_0.json,gpt-4o-mini,stop,580,4501,5081
