"project","01_seconds","02_seconds","03_seconds","04_seconds","05_seconds","06_seconds","07_seconds","08_seconds","09_seconds","10_seconds"
"EvalEx","538.806","799.929","555.336","56.443","629.660","485.789","465.281","623.556","896.728","511.317"
"TheAlgorithms-Java","241.975","249.905","249.863","244.314","244.555","263.262","276.388","313.984","275.115","261.760"
"cost_output","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"csv_output","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"dataframe-ec","418.559","381.418","349.361","449.383","396.562","314.062","419.442","329.059","500.146","295.943"
"dotenv-java","397.678","195.092","99.434","192.629","668.960","350.291","417.621","88.081","656.921","114.637"
"epubcheck","627.785","614.677","560.155","44.818","205.825","537.975","613.950","801.684","517.821","435.377"
"event-ruler","97.524","101.796","73.020","78.760","90.178","62.459","79.215","102.651","89.886","95.961"
"jsoup-jsoup","3306.006","3261.735","3302.760","2967.515","3523.568","3065.166","3334.737","3482.836","4014.921","3216.175"
"semver4j","112.465","97.247","108.369","106.391","103.981","92.850","137.202","92.737","80.000","71.247"
"word-wrap","174.450","157.057","330.684","133.908","276.086","142.798","207.381","206.521","215.430","128.443"
